UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
320;P07948;LYN;Tyrosine-protein kinase Lyn;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
321;P07949;RET;Proto-oncogene tyrosine-protein kinase receptor Ret;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: adrenal gland- brain- parathyroid gland;GEAGBPG
322;P08069;IGF1R;Insulin-like growth factor 1 receptor;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
323;P08118;MSMB;Beta-microseminoprotein;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enriched: prostate;TEP
324;P08236;GUSB;Beta-glucuronidase;Olink Explore Cardiometabolic- Olink Target 96 Development;Low tissue specificity;LTS
325;P08254;MMP3;Stromelysin-1;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Tissue enriched: salivary gland;TESG
326;P08397;HMBS;Porphobilinogen deaminase;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: bone marrow;TEBM
327;P08473;MME;Neprilysin;Olink Explore Oncology- Olink Target 96 Neurology;Tissue enhanced: intestine- kidney;TEIK
328;P08581;MET;Hepatocyte growth factor receptor;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: liver;TEL
329;P08648;ITGA5;Integrin alpha-5;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: smooth muscle- urinary bladder;TESMUB
330;P08670;VIM;Vimentin;Olink Explore Cardiometabolic- Olink Target 96 Oncology II;Low tissue specificity;LTS
331;P08709;F7;Coagulation factor VII;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
332;P08727;KRT19;Keratin- type I cytoskeletal 19;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: esophagus- intestine- salivary gland- urinary bladder;TEEISGUB
333;P08833;IGFBP1;Insulin-like growth factor-binding protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: liver;TEL
334;P08887;IL6R;Interleukin-6 receptor subunit alpha;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: liver- skeletal muscle;TELSM
335;P08962;CD63;CD63 antigen;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
336;P09104;ENO2;Gamma-enolase;Olink Explore Neurology- Olink Target 96 Metabolism;Group enriched: brain- retina;GEBR
337;P09105;HBQ1;Hemoglobin subunit theta-1;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: bone marrow;TEBM
338;P09110;ACAA1;3-ketoacyl-CoA thiolase- peroxisomal;Olink Explore Oncology- Olink Target 96 Oncology III;Group enriched: kidney- liver;GEKL
339;P09211;GSTP1;Glutathione S-transferase P;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: esophagus;TEE
340;P09238;MMP10;Stromelysin-2;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enriched: endometrium 1;TEE1
341;P09326;CD48;CD48 antigen;Olink Explore Inflammation- Olink Target 96 Oncology II;Group enriched: bone marrow- lymphoid tissue;GEBMLT
342;P09417;QDPR;Dihydropteridine reductase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: brain- choroid plexus;TEBCP
343;P09466;PAEP;Glycodelin;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: endometrium 1;TEE1
344;P09467;FBP1;Fructose-1-6-bisphosphatase 1;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: intestine- kidney- liver;TEIKL
345;P09486;SPARC;SPARC;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: placenta;TEP
346;P09525;ANXA4;Annexin A4;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: gallbladder- pancreas;TEGP
347;P09619;PDGFRB;Platelet-derived growth factor receptor beta;Olink Explore Cardiometabolic- Olink Target 96 Development;Low tissue specificity;LTS
348;P09668;CTSH;Pro-cathepsin H;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: lung;TEL
349;P09758;TACSTD2;Tumor-associated calcium signal transducer 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: esophagus- salivary gland- skin 1;TEESGS1
350;P09769;FGR;Tyrosine-protein kinase Fgr;Olink Explore Neurology- Olink Target 96 Organ Damage;Group enriched: bone marrow- lung- lymphoid tissue;GEBMLLT
351;P09874;PARP1;Poly [ADP-ribose] polymerase 1;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
352;P09958;FURIN;Furin;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: liver- salivary gland;TELSG
353;P09960;LTA4H;Leukotriene A-4 hydrolase;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
354;P0CG37;CFC1;Cryptic protein;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- pancreas- pituitary gland;TEBPPG
355;P10451;SPP1;Osteopontin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: brain- gallbladder- kidney- placenta;TEBGKP
356;P10586;PTPRF;Receptor-type tyrosine-protein phosphatase F;Olink Explore Cardiometabolic- Olink Target 96 Development;Low tissue specificity;LTS
357;P10636;MAPT;Microtubule-associated protein tau;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain- skeletal muscle;TEBSM
358;P10646;TFPI;Tissue factor pathway inhibitor;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: liver- placenta;TELP
359;P10721;KIT;Mast/stem cell growth factor receptor Kit;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: breast;TEB
360;P11215;ITGAM;Integrin alpha-M;Olink Explore Neurology- Olink Target 96 Cardiometabolic;Tissue enriched: bone marrow;TEBM
361;P11274;BCR;Breakpoint cluster region protein;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
362;P11464;PSG1;Pregnancy-specific beta-1-glycoprotein 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: placenta;TEP
363;P11717;IGF2R;Cation-independent mannose-6-phosphate receptor;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: skeletal muscle;TESM
364;P12034;FGF5;Fibroblast growth factor 5;Olink Explore Inflammation- Olink Target 96 Inflammation;Group enriched: brain- gallbladder;GEBG
365;P12104;FABP2;Fatty acid-binding protein- intestinal;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: intestine;TEI
366;P12318;FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue- placenta;TELTP
367;P12644;BMP4;Bone morphogenetic protein 4;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
368;P12724;RNASE3;Eosinophil cationic protein;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: bone marrow;TEBM
369;P12830;CDH1;Cadherin-1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: parathyroid gland;TEPG
370;P12872;MLN;Promotilin;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enriched: intestine;TEI
371;P12931;SRC;Proto-oncogene tyrosine-protein kinase Src;Olink Explore Oncology- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
372;P13385;TDGF1;Teratocarcinoma-derived growth factor 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: kidney- lymphoid tissue;TEKLT
373;P13501;CCL5;C-C motif chemokine 5;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
374;P13521;SCG2;Secretogranin-2;Olink Explore Oncology- Olink Target 96 Oncology III;Group enriched: adrenal gland- brain- pituitary gland;GEAGBPG
375;P13591;NCAM1;Neural cell adhesion molecule 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: brain- heart muscle;TEBHM
376;P13598;ICAM2;Intercellular adhesion molecule 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
377;P13611;VCAN;Versican core protein;Olink Explore Neurology- Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue- placenta;TELTP
378;P13686;ACP5;Tartrate-resistant acid phosphatase type 5;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: lung;TEL
379;P13688;CEACAM1;Carcinoembryonic antigen-related cell adhesion molecule 1;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: intestine;TEI
380;P13693;TPT1;Translationally-controlled tumor protein;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle;TESM
381;P13726;F3;Tissue factor;Olink Explore Oncology- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
382;P13747;HLA-E;HLA class I histocompatibility antigen- alpha chain E;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
383;P13987;CD59;CD59 glycoprotein;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
384;P14174;MIF;Macrophage migration inhibitory factor;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
385;P14317;HCLS1;Hematopoietic lineage cell-specific protein;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
386;P14384;CPM;Carboxypeptidase M;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: adipose tissue;TEAT
387;P14543;NID1;Nidogen-1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: placenta;TEP
388;P14625;HSP90B1;Endoplasmin;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
389;P14778;IL1R1;Interleukin-1 receptor type 1;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
390;P14780;MMP9;Matrix metalloproteinase-9;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Group enriched: bone marrow- lymphoid tissue;GEBMLT
391;P14784;IL2RB;Interleukin-2 receptor subunit beta;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: bone marrow- lymphoid tissue- placenta;TEBMLTP
392;P15018;LIF;Leukemia inhibitory factor;Olink Explore Neurology- Olink Target 96 Inflammation;Tissue enhanced: gallbladder- urinary bladder;TEGUB
393;P15085;CPA1;Carboxypeptidase A1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: pancreas;TEP
394;P15086;CPB1;Carboxypeptidase B;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: pancreas;TEP
395;P15090;FABP4;Fatty acid-binding protein- adipocyte;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: adipose tissue- breast;GEATB
396;P15121;AKR1B1;Aldo-keto reductase family 1 member B1;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: adrenal gland;TEAG
397;P15144;ANPEP;Aminopeptidase N;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: intestine- pancreas;GEIP
398;P15151;PVR;Poliovirus receptor;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
399;P15260;IFNGR1;Interferon gamma receptor 1;Olink Explore Inflammation- Olink Target 96 Oncology II;Low tissue specificity;LTS
400;P15289;ARSA;Arylsulfatase A;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
401;P15291;B4GALT1;Beta-1-4-galactosyltransferase 1;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
402;P15311;EZR;Ezrin;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
403;P15328;FOLR1;Folate receptor alpha;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: choroid plexus- fallopian tube- lung- salivary gland;TECPFTLSG
404;P15509;CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: placenta;TEP
405;P15529;CD46;Membrane cofactor protein;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
406;P15848;ARSB;Arylsulfatase B;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
407;P15907;ST6GAL1;Beta-galactoside alpha-2-6-sialyltransferase 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Group enriched: liver- lymphoid tissue;GELLT
408;P16109;SELP;P-selectin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
409;P16112;ACAN;Aggrecan core protein;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enhanced: brain- seminal vesicle;TEBSV
410;P16234;PDGFRA;Platelet-derived growth factor receptor alpha;Olink Explore Cardiometabolic- Olink Target 96 Neurology;Tissue enhanced: ovary;TEO
411;P16278;GLB1;Beta-galactosidase;Olink Explore Neurology- Olink Target 96 Immune Response;Low tissue specificity;LTS
412;P16284;PECAM1;Platelet endothelial cell adhesion molecule;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Tissue enhanced: placenta;TEP
413;P16422;EPCAM;Epithelial cell adhesion molecule;Olink Explore Inflammation- Olink Target 96 Cardiovascular III;Tissue enhanced: intestine;TEI
414;P16444;DPEP1;Dipeptidase 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Group enriched: intestine- kidney- pancreas;GEIKP
415;P16455;MGMT;Methylated-DNA--protein-cysteine methyltransferase;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: liver;TEL
416;P16562;CRISP2;Cysteine-rich secretory protein 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: testis;TET
417;P16581;SELE;E-selectin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: urinary bladder;TEUB
418;P16860;NPPB;Natriuretic peptides B;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: heart muscle;TEHM
419;P16870;CPE;Carboxypeptidase E;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: brain- retina;TEBR
420;P16871;IL7R;Interleukin-7 receptor subunit alpha;Olink Explore Neurology- Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue;TELT
421;P17405;SMPD1;Sphingomyelin phosphodiesterase;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
422;P17813;ENG;Endoglin;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: heart muscle;TEHM
423;P17931;LGALS3;Galectin-3;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: intestine;TEI
424;P17936;IGFBP3;Insulin-like growth factor-binding protein 3;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: placenta;TEP
425;P17948;FLT1;Vascular endothelial growth factor receptor 1;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: placenta;TEP
426;P18031;PTPN1;Tyrosine-protein phosphatase non-receptor type 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
427;P18065;IGFBP2;Insulin-like growth factor-binding protein 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: pancreas;TEP
428;P18084;ITGB5;Integrin beta-5;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
429;P18510;IL1RN;Interleukin-1 receptor antagonist protein;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enriched: esophagus;TEE
430;P18564;ITGB6;Integrin beta-6;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: skeletal muscle- tongue;TESMT
431;P18827;SDC1;Syndecan-1;Olink Explore Cardiometabolic- Olink Target 96 Oncology II;Tissue enhanced: esophagus- liver- skin 1;TEELS1
432;P19021;PAM;Peptidyl-glycine alpha-amidating monooxygenase;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: heart muscle;TEHM
433;P19022;CDH2;Cadherin-2;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: heart muscle;TEHM
434;P19256;CD58;Lymphocyte function-associated antigen 3;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
435;P19320;VCAM1;Vascular cell adhesion protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: lymphoid tissue;TELT
436;P19429;TNNI3;Troponin I- cardiac muscle;Olink Explore Cardiometabolic- Olink Target 96 Organ Damage;Tissue enriched: heart muscle;TEHM
437;P19438;TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
438;P19474;TRIM21;E3 ubiquitin-protein ligase TRIM21;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
439;P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing];Olink Explore Inflammation- Olink Target 96 Neuro Exploratory;Group enriched: intestine- kidney- placenta;GEIKP
440;P19878;NCF2;Neutrophil cytosol factor 2;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enhanced: bone marrow- lung- lymphoid tissue;TEBMLLT
441;P19883;FST;Follistatin;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: liver;TEL
442;P19957;PI3;Elafin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: esophagus- lymphoid tissue- vagina;GEELTV
443;P19971;TYMP;Thymidine phosphorylase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
444;P20023;CR2;Complement receptor type 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: lymphoid tissue;TELT
445;P20062;TCN2;Transcobalamin-2;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: kidney;TEK
446;P20138;CD33;Myeloid cell surface antigen CD33;Olink Explore Oncology- Olink Target 96 Neuro Exploratory;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
447;P20160;AZU1;Azurocidin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow;TEBM
448;P20273;CD22;B-cell receptor CD22;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: brain- lymphoid tissue- ovary;TEBLTO
449;P20333;TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
450;P20340;RAB6A;Ras-related protein Rab-6A;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
451;P20472;PVALB;Parvalbumin alpha;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enriched: parathyroid gland;TEPG
452;P20711;DDC;Aromatic-L-amino-acid decarboxylase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Group enriched: intestine- kidney- retina;GEIKR
453;P20783;NTF3;Neurotrophin-3;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: ovary;TEO
454;P20849;COL9A1;Collagen alpha-1(IX) chain;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: choroid plexus- prostate;TECPP
455;P20936;RASA1;Ras GTPase-activating protein 1;Olink Explore Neurology- Olink Target 96 Organ Damage;Tissue enhanced: placenta;TEP
456;P21217;FUT3;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: esophagus- intestine- retina- salivary gland;TEEIRSG
457;P21589;NT5E;5'-nucleotidase;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: cervix- retina;TECR
458;P21741;MDK;Midkine;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: ovary;TEO
459;P21757;MSR1;Macrophage scavenger receptor types I and II;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enriched: lung;TEL
460;P21802;FGFR2;Fibroblast growth factor receptor 2;Olink Explore Oncology- Olink Target 96 Neuro Exploratory;Tissue enhanced: brain- choroid plexus;TEBCP
461;P21810;BGN;Biglycan;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
462;P21860;ERBB3;Receptor tyrosine-protein kinase erbB-3;Olink Explore Inflammation- Olink Target 96 Oncology II;Low tissue specificity;LTS
463;P21964;COMT;Catechol O-methyltransferase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
464;P21980;TGM2;Protein-glutamine gamma-glutamyltransferase 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
465;P22004;BMP6;Bone morphogenetic protein 6;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enhanced: placenta;TEP
466;P22105;TNXB;Tenascin-X;Olink Explore Neurology- Olink Target 96 Cardiometabolic;Tissue enriched: adrenal gland;TEAG
467;P22223;CDH3;Cadherin-3;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: choroid plexus- ovary;TECPO
468;P22466;GAL;Galanin peptides;Olink Explore Inflammation- Olink Target 96 Metabolism;Group enriched: brain- pituitary gland;GEBPG
469;P22748;CA4;Carbonic anhydrase 4;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: intestine;TEI
470;P22749;GNLY;Granulysin;Olink Explore Neurology- Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
471;P23141;CES1;Liver carboxylesterase 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
472;P23229;ITGA6;Integrin alpha-6;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
473;P23280;CA6;Carbonic anhydrase 6;Olink Explore Neurology- Olink Target 96 Development;Tissue enriched: salivary gland;TESG
474;P23284;PPIB;Peptidyl-prolyl cis-trans isomerase B;Olink Explore Cardiometabolic- Olink Target 96 Development;Low tissue specificity;LTS
475;P23515;OMG;Oligodendrocyte-myelin glycoprotein;Olink Explore Oncology- Olink Target 96 Cell Regulation;Group enriched: brain- choroid plexus;GEBCP
476;P23526;AHCY;Adenosylhomocysteinase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
477;P23582;NPPC;C-type natriuretic peptide;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enriched: brain;TEB
478;P23588;EIF4B;Eukaryotic translation initiation factor 4B;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
479;P24001;IL32;Interleukin-32;Olink Explore Inflammation- Olink Target 96 Neuro Exploratory;Tissue enhanced: liver- pancreas;TELP
480;P24071;FCAR;Immunoglobulin alpha Fc receptor;Olink Explore Inflammation- Olink Target 96 Neuro Exploratory;Group enriched: bone marrow- lung- lymphoid tissue;GEBMLLT
481;P24158;PRTN3;Myeloblastin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow;TEBM
482;P24387;CRHBP;Corticotropin-releasing factor-binding protein;Olink Explore Inflammation- Olink Target 96 Development;Tissue enriched: liver;TEL
483;P24394;IL4R;Interleukin-4 receptor subunit alpha;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
484;P24592;IGFBP6;Insulin-like growth factor-binding protein 6;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
485;P24821;TNC;Tenascin;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue- smooth muscle;TELTSM
486;P25116;F2R;Proteinase-activated receptor 1;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue;TELT
487;P25445;FAS;Tumor necrosis factor receptor superfamily member 6;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
488;P25685;DNAJB1;DnaJ homolog subfamily B member 1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: brain;TEB
489;P25774;CTSS;Cathepsin S;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
490;P25786;PSMA1;Proteasome subunit alpha type-1;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
491;P25815;S100P;Protein S100-P;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: bone marrow- stomach 1- urinary bladder;TEBMS1UB
492;P26010;ITGB7;Integrin beta-7;Olink Explore Oncology- Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue;TELT
493;P26022;PTX3;Pentraxin-related protein PTX3;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: adipose tissue- urinary bladder;TEATUB
494;P26447;S100A4;Protein S100-A4;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: bone marrow;TEBM
495;P26951;IL3RA;Interleukin-3 receptor subunit alpha;Olink Explore Inflammation- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
496;P27352;CBLIF;Cobalamin binding intrinsic factor;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: stomach 1;TES1
497;P27487;DPP4;Dipeptidyl peptidase 4;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: intestine- parathyroid gland- placenta- prostate;TEIPGPP
498;P27540;ARNT;Aryl hydrocarbon receptor nuclear translocator;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
499;P27695;APEX1;DNA-(apurinic or apyrimidinic site) endonuclease;Olink Explore Oncology- Olink Target 96 Metabolism;Low tissue specificity;LTS
500;P27930;IL1R2;Interleukin-1 receptor type 2;Olink Explore Inflammation- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
501;P28325;CST5;Cystatin-D;Olink Explore Neurology- Olink Target 96 Inflammation;Tissue enriched: salivary gland;TESG
502;P28799;GRN;Progranulin;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
503;P28827;PTPRM;Receptor-type tyrosine-protein phosphatase mu;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
504;P28838;LAP3;Cytosol aminopeptidase;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
505;P28845;HSD11B1;11-beta-hydroxysteroid dehydrogenase 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enriched: liver;TEL
506;P28907;CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;Olink Explore Oncology- Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue;TELT
507;P29017;CD1C;T-cell surface glycoprotein CD1c;Olink Explore Oncology- Olink Target 96 Metabolism;Tissue enriched: lymphoid tissue;TELT
508;P29218;IMPA1;Inositol monophosphatase 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
509;P29317;EPHA2;Ephrin type-A receptor 2;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: esophagus;TEE
510;P29350;PTPN6;Tyrosine-protein phosphatase non-receptor type 6;Olink Explore Inflammation- Olink Target 96 Development;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
